#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,atkmm," added 8/5/23"
,openpmix," added 8/5/23"
,openresolv," added 8/5/23"
,openssh," added 8/5/23"
,openssl," added 8/5/23"
,openssl-1.0," added 8/5/23"
,openssl-1.1," added 8/5/23"
,opus," added 8/5/23"
,orc," added 8/5/23"
,p11-kit," added 8/5/23"
,pahole," added 8/5/23"
,pam," added 8/5/23"
,pam-gnupg," added 8/5/23"
,pambase," added 8/5/23"
,pamixer," added 8/5/23"
,pandoc-cli," added 8/5/23"
,pango," added 8/5/23"
,pangomm," added 8/5/23"
,parted," added 8/5/23"
,paru," added 8/5/23"
,pass," added 8/5/23"
,patch," added 8/5/23"
,patchelf," added 8/5/23"
,pciutils," added 8/5/23"
,pcre," added 8/5/23"
,pcre2," added 8/5/23"
,pcsclite," added 8/5/23"
,perl," added 8/5/23"
,perl-encode-locale," added 8/5/23"
,perl-error," added 8/5/23"
,perl-file-basedir," added 8/5/23"
,perl-file-desktopentry," added 8/5/23"
,perl-file-mimeinfo," added 8/5/23"
,perl-file-which," added 8/5/23"
,perl-io-tty," added 8/5/23"
,perl-ipc-run," added 8/5/23"
,perl-ipc-system-simple," added 8/5/23"
,perl-mailtools," added 8/5/23"
,perl-time-duration," added 8/5/23"
,perl-timedate," added 8/5/23"
,perl-uri," added 8/5/23"
,pinentry," added 8/5/23"
,pixman," added 8/5/23"
,pkgconf," added 8/5/23"
,poppler," added 8/5/23"
,poppler-data," added 8/5/23"
,poppler-glib," added 8/5/23"
,popt," added 8/5/23"
,portaudio," added 8/5/23"
,postgresql-libs," added 8/5/23"
,potrace," added 8/5/23"
,procps-ng," added 8/5/23"
,protobuf," added 8/5/23"
,psmisc," added 8/5/23"
,qhull," added 8/5/23"
,qt5-base," added 8/5/23"
,qt5-declarative," added 8/5/23"
,qt5-location," added 8/5/23"
,qt5-sensors," added 8/5/23"
,qt5-svg," added 8/5/23"
,qt5-translations," added 8/5/23"
,qt5-webchannel," added 8/5/23"
,qt5-webengine," added 8/5/23"
,qt5-x11extras," added 8/5/23"
,qt5-xmlpatterns," added 8/5/23"
,qt6-base," added 8/5/23"
,qt6-declarative," added 8/5/23"
,qt6-multimedia," added 8/5/23"
,qt6-multimedia-ffmpeg," added 8/5/23"
,qt6-positioning," added 8/5/23"
,qt6-svg," added 8/5/23"
,qt6-translations," added 8/5/23"
,qt6-webchannel," added 8/5/23"
,qt6-webengine," added 8/5/23"
,quarto-cli-bin," added 8/5/23"
,r," added 8/5/23"
,ragel," added 8/5/23"
,raptor," added 8/5/23"
,rasqal," added 8/5/23"
,rav1e," added 8/5/23"
,re2," added 8/5/23"
,readline," added 8/5/23"
,redland," added 8/5/23"
,rest," added 8/5/23"
,rhash," added 8/5/23"
,rubberband," added 8/5/23"
,rust," added 8/5/23"
,sbc," added 8/5/23"
,sc-im," added 8/5/23"
,scour," added 8/5/23"
,sdl2," added 8/5/23"
,sed," added 8/5/23"
,serd," added 8/5/23"
,sfsexp," added 8/5/23"
,shaderc," added 8/5/23"
,shadow," added 8/5/23"
,shared-mime-info," added 8/5/23"
,simple-mtpfs," added 8/5/23"
,slang," added 8/5/23"
,slock," added 8/5/23"
,slop," added 8/5/23"
,snappy," added 8/5/23"
,socat," added 8/5/23"
,soci," added 8/5/23"
,sord," added 8/5/23"
,speex," added 8/5/23"
,speexdsp," added 8/5/23"
